หมู่บ้าน,ตำบล,อำเภอ,จังหวัด,Latitude,Longitude,sea level (m),ความสูงเสา (ม.),ตำแหน่ง
หมู่ 1 ป่าไผ่แดง,วังกะทะ,ปากช่อง,นครราชสีมา,14.513409,101.744578,435,9,ผู้ใหญ่บ้าน
หมู่ 10 เขาแก้ว,วังกะทะ,ปากช่อง,นครราชสีมา,14.511159,101.700448,410,9,ผู้ใหญ่บ้าน
หมู่ 14 ดอนสว่าง,วังกะทะ,ปากช่อง,นครราชสีมา,14.465441,101.715668,423,9,ผู้ใหญ่บ้าน
หมู่ 17 ป่าตะเคียน,วังกะทะ,ปากช่อง,นครราชสีมา,14.481290,101.692247,420,9,ผู้ใหญ่บ้าน
หมู่ 20 โนนทอง,วังกะทะ,ปากช่อง,นครราชสีมา,14.460085,101.704039,419,9,ผู้ใหญ่บ้าน
หมู่ 6 วังตะเคียนทอง,วังกะทะ,ปากช่อง,นครราชสีมา,14.492825,101.682979,396,9,ผู้ใหญ่บ้าน
หมู่ 7 คลองป่าหมู,วังกะทะ,ปากช่อง,นครราชสีมา,14.480409,101.726500,405,9,ผู้ใหญ่บ้าน
หมู่ 8 คลองอีเฒ่า,วังกะทะ,ปากช่อง,นครราชสีมา,14.487357,101.714298,426,9,ผู้ใหญ่บ้าน
หมู่ 9 วังกะโล่,วังกะทะ,ปากช่อง,นครราชสีมา,14.517026,101.681676,424,9,ผู้ใหญ่บ้าน
หมู่ 12 คลองดินดำ,ระเริง,วังน้ำเขียว,นครราชสีมา,14.529034,101.741417,314,9,ผู้ใหญ่บ้าน
หมู่ 13 วังสัปรด,ระเริง,วังน้ำเขียว,นครราชสีมา,14.560361,101.726250,333,9,ผู้ใหญ่บ้าน
หมู่ 14 วังขอน,ระเริง,วังน้ำเขียว,นครราชสีมา,14.517771,101.753966,287,9,ผู้ใหญ่บ้าน
หมู่ 5 คลองกุ่ม,ระเริง,วังน้ำเขียว,นครราชสีมา,14.546567,101.721562,327,18,ผู้ใหญ่บ้าน
หมู่ 12 สันกำแพง,วังหมี,วังน้ำเขียว,นครราชสีมา,14.392107,101.692936,431,9,ผู้ใหญ่บ้าน
หมู่ 13 หนองไม้แดง,วังหมี,วังน้ำเขียว,นครราชสีมา,14.486325,101.772957,310,9,ผู้ใหญ่บ้าน
หมู่ 14 อุบลพัฒนา,วังหมี,วังน้ำเขียว,นครราชสีมา,14.453190,101.730850,447,9,ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 17 บุกระทิง,วังหมี,วังน้ำเขียว,นครราชสีมา,14.437371,101.702190,452,9,ผู้ใหญ่บ้าน
หมู่ 18 คลองนกแก้ว,วังหมี,วังน้ำเขียว,นครราชสีมา,14.421233,101.700120,462,18,ผู้ใหญ่บ้าน
หมู่ 2 ท่าวังไทร,วังหมี,วังน้ำเขียว,นครราชสีมา,14.438013,101.677589,430,9,กำนัน
หมู่ 21 วังไผ่ทอง,วังหมี,วังน้ำเขียว,นครราชสีมา,14.432161,101.677780,432,9,ผู้ใหญ่บ้าน
